2023-15-04/25/23 14:15:39 | 172.20.10.46 -> 10.8.0.1 | Protocol: 6
2023-15-04/25/23 14:15:40 | 13.89.179.9 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:40 | 172.20.10.46 -> 13.89.179.9 | Protocol: 6
2023-15-04/25/23 14:15:40 | 172.20.10.46 -> 13.89.179.9 | Protocol: 6
2023-15-04/25/23 14:15:40 | 172.20.10.46 -> 13.89.179.9 | Protocol: 6
2023-15-04/25/23 14:15:40 | 13.89.179.9 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:40 | 13.89.179.9 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:40 | 172.20.10.46 -> 13.89.179.9 | Protocol: 6
2023-15-04/25/23 14:15:42 | 195.201.54.247 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:43 | 172.20.10.46 -> 10.8.0.1 | Protocol: 6
2023-15-04/25/23 14:15:44 | 172.20.10.46 -> 34.120.4.185 | Protocol: 17
2023-15-04/25/23 14:15:44 | 34.120.4.185 -> 172.20.10.46 | Protocol: 17
2023-15-04/25/23 14:15:45 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-15-04/25/23 14:15:45 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-15-04/25/23 14:15:45 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-15-04/25/23 14:15:45 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-15-04/25/23 14:15:45 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-15-04/25/23 14:15:45 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-15-04/25/23 14:15:45 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:46 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:46 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-15-04/25/23 14:15:46 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
